city,temp,temp_max,temp_min,lon,lat
Anliac,-4.98,5.01,-4.98,3.09417,45.284969
Annay,7.59,8.44,6.49,2.88122,50.463032
Annebault,5.48,6.55,5.02,0.05935000000000001,49.252399
Annebecq,6.69,6.69,6.69,-0.97357,48.907261
Annecy,1.67,5.2,-1.77,6.11667,45.900002
Annecy-le-Vieux,1.47,3.17,-2.09,6.14393,45.91972
Annemasse,2.05,3.89,-1.79,6.23775,46.194389
Annequin,7.54,8.14,6.49,2.72019,50.505249
Annesse-et-Beaulieu,5.07,9.07,-1.14,0.57193,45.164162
Annet-sur-Marne,5.42,6.65,4.8,2.71959,48.926689
Anneville-en-Saire,8.83,8.84,8.82,-1.28685,49.635601
Anneville-sur-Mer,7.38,8.82,7.17,-1.58188,49.12067
Anneyron,2.32,3.23,1.06,4.88786,45.272652
Annezin,7.52,8.17,6.53,2.61785,50.531921
Annoeullin,7.62,8.15,6.54,2.9318,50.529251
Annonay,0.76,2.37,0.1,4.67075,45.2397
Annot,5.82,7.72,0.38,6.66441,43.96566
Annoville,7.21,7.42,7.07,-1.53611,48.96627
Anor,4.86,5.71,3.53,4.10049,49.98999
Anould,1.81,2.39,-2.33,6.94597,48.185261
Anoye,3.87,6.1,1.84,-0.13333,43.400002
Ansauvillers,5.65,6.88,4.19,2.38742,49.565231
Anse,0.54,3.45,-1.91,4.71576,45.930229
Ansouis,0.56,5.53,-1.2,5.46401,43.737751
Anstaing,7.5,8.08,6.16,3.19079,50.604729
Antagnac,6.17,6.97,2.48,0.0106,44.352242
Anteuil,1.85,4.7,-2.76,6.56142,47.387611
Antezant-la-Chapelle,3.37,3.97,3.0,-0.45585000000000003,45.982712
Anthé,5.18,8.6,-1.69,0.9588800000000001,44.372391
Antibes,9.72,12.24,4.7,7.12777,43.562408
Antignac,7.6,7.75,-2.54,2.55,45.366669
Antigny,3.4,4.06,3.17,-0.76988,46.620949
Antoingt,-2.06,-2.03,-2.1,3.17433,45.50037
Antonaves,2.47,2.71,2.23,5.80425,44.266281
Antonne-et-Trigonant,6.16,8.84,-1.36,0.83006,45.212711
Antony,5.64,6.64,4.53,2.3,48.75
Antrain,7.24,7.97,6.05,-1.48354,48.460312
Antran,4.25,5.37,3.69,0.54317,46.8535
Anzat-le-Luguet,-6.02,3.98,-6.02,3.04086,45.331291
Anzin,6.82,7.99,5.25,3.50387,50.372009
Anzin-Saint-Aubin,7.35,7.86,6.86,2.74732,50.313129
Aoste,2.71,4.79,-0.2,5.61014,45.586788
