city,temp,temp_max,temp_min
Antony,5.65,6.64,4.53
Antony,5.63,6.64,4.53
Antrain,7.24,7.97,6.05
Antran,4.25,5.37,3.69
Anzat-le-Luguet,-6.02,3.98,-6.02
Anzat,-6.21,3.79,-6.21
Anzin,6.82,7.99,5.25
Anzin-Saint-Aubin,7.35,7.86,6.86
Aoste,2.71,4.79,-0.2
Aouste-sur-Sye,2.25,2.38,1.03
Apchat,-3.23,-3.23,-3.23
Apchat,-3.42,-3.42,-3.42
Apcher,-6.59,3.4,-6.59
Appeville,8.73,8.86,7.21
Appeville,8.64,8.8,7.15
Appietto,7.18,7.29,-1.61
Appilly,6.71,7.54,4.84
Appilly,6.71,7.54,4.84
Appoigny,2.75,2.75,1.09
Apprieu,0.48,2.84,-2.16
Apprieu,0.6,2.96,-2.03
Apremont,4.82,6.84,4.4
Apt,-1.06,4.89,-1.84
Arâches-la-Frasse,-2.31,0.42,-6.15
Aramits,3.73,5.95,1.92
Aramits,3.73,5.95,1.92
Aramon,5.49,7.01,2.94
Arance,5.33,7.91,2.79
Arancou,5.55,8.06,2.94
Arancou,5.55,8.06,2.94
Araules,-4.1,-4.1,-4.1
Araules,-4.22,-4.22,-4.22
Arbanats,5.29,6.98,-0.05
Arbanats,5.37,7.06,0.03
Arbent,-0.23,2.3,-4.47
Porte-de-Benauge,5.56,7.58,5.03
Arbis,5.56,7.58,5.03
Arbois,0.03,4.8,-1.73
Arbonne,5.98,8.8,3.84
Arbonne-la-Forêt,5.12,6.44,3.54
Arbouans,3.04,5.41,1.76
Arboucave,4.87,5.82,2.75
Arboucave,4.9,5.84,2.76
Arbouet-Sussaute,5.3,7.92,3.42
Arbouet-Sussaute,5.24,7.86,3.36
Arbus,5.06,5.57,2.49
Arbus,5.06,5.57,2.49
Arc-et-Senans,0.21,5.23,-1.3
Arc-lès-Gray,0.57,3.23,-1.08
Arc-sur-Tille,1.43,3.1,-1.2
Arcachon,-0.04,5.15,-0.05
Arcachon,-0.04,5.15,-0.05
Arcangues,5.7,8.49,3.53
Arcangues,5.85,8.66,3.7
Arcey,1.67,5.21,-2.23
Archamps,1.76,2.62,-2.25
Arches,6.9,6.9,6.9
Arches,6.9,6.9,6.9
Arches,2.74,3.78,1.55
Archettes,2.76,3.81,1.58
Archigny,4.14,4.14,3.18
Arcins,5.47,5.69,0.13
Arcins,5.42,5.64,0.08
Arcis-sur-Aube,2.77,6.27,1.1
Arcis-sur-Aube,2.73,6.23,1.07
Arcizans-Avant,0.39,4.11,0.3
Arcizans-Avant,0.39,4.11,0.3
Arçonnay,4.57,4.57,4.57
Arconsat,-3.56,-0.39,-3.85
Arconsat,-3.56,-0.39,-3.85
Arcueil,5.64,6.65,4.54
Arcueil,5.64,6.65,4.54
Ardentes,2.9,3.47,0.65
Ardes,-2.93,-2.93,-2.93
Ardes,-3.13,-3.13,-3.13
Ardin,3.33,4.37,3.3
Ardres,7.56,8.26,6.61
Arengosse,4.55,7.95,-0.4
Arengosse,4.6,8,-0.36
Arenthon,1.88,3.84,-1.78
Arès,2.81,5.66,0.1
Arette,3.79,5.93,2.12
Arette,3.79,5.93,2.12
Arfeuilles,-4.58,-3.39,-4.58
Argagnon,5.25,8.02,2.9
Argagnon,5.25,8.02,2.9
Arganchy,7.19,8.61,5.67
Arganchy,7.17,8.6,5.66
Argancy,5.44,7.05,2.45
Argancy,5.4,7.01,2.41
Argeles,8.6,9.56,6.62
Argelès-Gazost,1.1,4.9,1.09
Argeliers,8.68,11.19,5.87
Argences,6.91,7.4,5.87
Argences,6.86,7.33,5.8
Argent-sur-Sauldre,3.25,4.01,1.79
Argentan,6.4,6.4,4.87
Argentan,6.4,6.4,4.87
Argentat,9.88,9.88,4.23
Argenteuil,5.66,6.73,4.62
Argenteuil,5.66,6.73,4.62
Argenton,6.81,7.55,-0.98
Argenton,6.71,7.45,-1.08
Argenton-les-Vallées,4.93,5.64,2.99
Argenton-sur-Creuse,4.19,4.19,4.19
Argentré,6.01,6.01,5.14
Argentré-du-Plessis,6.02,6.03,5.62
Arget,4.1,5.71,2.63
Arget,4.1,5.71,2.63
Argouges,6.81,7.14,5.98
Argouges,6.79,7.11,5.95
Arinthod,-1.31,3.04,-3.73
Arlanc,-1.21,-1.21,-2.68
Arlanc,-2.4,-2.4,-2.86
Arles,5.35,7,2.98
Arles,5.35,7,2.98
Arles,6.18,8.39,1.33
Arlet,2.35,2.35,2.35
Arlet,2.33,2.33,2.33
Arleuf,-0.51,-0.51,-0.51
Arleuf,-0.78,-0.78,-0.78
Arleux,7.08,7.83,6.11
Armbouts-Cappel,7.36,8.34,6.68
Armendarits,5.27,8.54,3.04
Armendarits,5.29,8.55,3.05
Armenonville-les-Gâtineaux,4.97,6.25,4.14
Armentières,7.41,8.23,6.25
Armentières-en-Brie,4.99,6.54,4.14
Armentières,7.4,8.21,6.23
Armillac,5.51,7.16,-1.38
Armillac,5.52,7.21,-1.32
Armissan,7.9,9.76,7
Armoy,-0.21,2.66,-3.9
Arnac,6.18,6.18,6.18
Arnac,6.12,6.12,6.12
Arnac-Pompadour,3.06,7.12,3.04
Arnac-la-Poste,5.67,5.67,5.67
Arnage,5.46,6.36,4.73
Arnage,5.45,6.05,4.72
Arnas,0.46,3.35,-2.01
Arnay-le-Duc,1.51,2.2,-1.14
Arnèke,7.26,8.19,6.54
Arnières-sur-Iton,6.19,7.04,4.35
Arnos,3.18,5.24,2.16
Arnos,3.18,5.24,2.16
Arnouville,5.29,6.53,4.14
Aron,5.76,5.76,5.76
Aroue-Ithorots-Olhaïby,4.56,7.72,3.42
Aroue-Ithorots-Olhaïby,4.55,7.72,3.42
Arpajon,5.48,6.6,4.2
Arpajon-sur-Cère,6.17,6.17,2.82
Arpajon-sur-Cère,6.18,6.18,2.83
Arpheuilles-Saint-Priest,-0.93,-0.93,-2.12
